method,scenario,iteration,converged,time_sec,n_iter,objective,tau2,n_params,init_val_idx,message
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,0,True,0.0022199153900146484,,,7.591807197181251e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,0,True,0.0015528202056884766,,,7.591807197181251e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,1,True,0.0017542839050292969,,,9.22073455900074e-08,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,1,True,0.0014660358428955078,,,9.22073455900074e-08,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,2,True,0.0018799304962158203,,,3.910149160538201e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,2,True,0.001439809799194336,,,3.910149160538201e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,3,True,0.0013227462768554688,,,5.582611157290141e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,3,True,0.0013463497161865234,,,5.582611157290141e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,4,True,0.0013682842254638672,,,2.9130736403589577e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,4,True,0.0015323162078857422,,,2.9130736403589577e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,5,True,0.0013206005096435547,,,3.573704166804609e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,5,True,0.0015306472778320312,,,3.573704166804609e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,6,True,0.00140380859375,,,2.0307531845113742e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,6,True,0.0013585090637207031,,,2.0307531845113742e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,7,True,0.0013017654418945312,,,9.567046251274632e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,7,True,0.0015292167663574219,,,9.567046251274632e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,8,True,0.0015816688537597656,,,1.0706416235541502e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,8,True,0.0013873577117919922,,,1.0706416235541502e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,9,True,0.0019176006317138672,,,7.357357863030685e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,9,True,0.0011935234069824219,,,7.357357863030685e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,10,True,0.0013713836669921875,,,2.799924614856364e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,10,True,0.0014171600341796875,,,2.799924614856364e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,11,True,0.0013277530670166016,,,6.722621873819395e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,11,True,0.0014629364013671875,,,6.722621873819395e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,12,True,0.0013790130615234375,,,2.3374186245612383e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,12,True,0.001440286636352539,,,2.3374186245612383e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,13,True,0.0017070770263671875,,,2.1248044989527867e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,13,True,0.0011637210845947266,,,2.1248044989527867e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,14,True,0.0013630390167236328,,,6.151713945062594e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,14,True,0.0015408992767333984,,,6.151713945062594e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,15,True,0.0013823509216308594,,,4.0886848868234714e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,15,True,0.0013992786407470703,,,4.0886848868234714e-07,,,Success
TwoStage_DL_HKSJ,Quadratic (Moderate Het)_k8,16,True,0.0014941692352294922,,,3.80895190960163e-07,,,Success
TwoStage_DL_Normal,Quadratic (Moderate Het)_k8,16,True,0.0014925003051757812,,,3.80895190960163e-07,,,Success
