scenario,n_knots,sim_idx,converged,mse,coverage,interval_score,aic,n_params
Linear,3,0,True,0.02624405791770461,77.0,0.8858362438132978,-360.0315680608761,2
Linear,3,1,True,0.0005837577316416138,100.0,1.3487642115613008,-740.6024504286671,2
Linear,3,2,True,0.005703222525117393,100.0,1.4184381224133338,-512.6723908610969,2
Linear,3,3,True,0.000537882216362991,100.0,0.7222627113381053,-748.78709504642,2
Linear,3,4,True,0.0012059763380904873,100.0,1.1619517849119176,-668.0465801026763,2
Linear,3,5,True,0.0013337521283607898,100.0,1.4764954798468382,-657.975915957767,2
Linear,3,6,True,6.12074142030314e-05,100.0,1.3354661407297874,-966.1242228675357,2
Linear,3,7,True,2.7752420280065346e-05,100.0,1.779578570463532,-1045.2187504275385,2
Linear,3,8,True,0.00035055637844397643,100.0,1.946077155060229,-791.5989012944167,2
Linear,3,9,True,0.0029752699604977794,100.0,2.1526853203162064,-577.7420501076979,2
Linear,3,10,True,0.0202606407181642,95.0,1.909152387204292,-385.9075155875661,2
Linear,3,11,True,0.0043149164890771705,100.0,3.5991568658227813,-540.5677308266204,2
Linear,3,12,True,2.523309458386453e-05,100.0,0.9447331049265619,-1054.7354147903577,2
Linear,3,13,True,0.0045176811786974535,100.0,1.3852989196731251,-535.9756430336988,2
Linear,3,14,True,0.00010737985599633678,100.0,1.4528463515945393,-909.9137954036714,2
Linear,3,15,True,0.0021026588317315715,100.0,1.3975154781547883,-612.4552624746201,2
Linear,3,16,True,0.0021865182889103368,100.0,1.626724216932881,-608.5444822677798,2
Linear,3,17,True,0.015794624492649602,100.0,1.1526143608444162,-410.8085618822048,2
Linear,3,18,True,8.428173755476681e-05,100.0,1.1382073642239943,-934.1345352786522,2
Linear,3,19,True,6.32296163074903e-05,100.0,1.6511930060833975,-962.8737754115701,2
Linear,3,20,True,0.0021996388292343594,100.0,1.3541225905710592,-607.9462100624831,2
Linear,3,21,True,0.0024231112039846754,100.0,1.5315726982035078,-598.2702943035948,2
Linear,3,22,True,0.0003264887125695072,100.0,1.6379709555440494,-798.7115180842294,2
Linear,3,23,True,0.0005968807689075588,100.0,1.1251859802979818,-738.3793181590548,2
Linear,3,24,True,0.0002173042643310931,100.0,2.8584983310752374,-839.4212046729265,2
Linear,3,25,True,0.013113283336680732,90.0,0.9231513531516334,-429.41295673544005,2
Linear,3,26,True,0.04714918136047354,94.0,2.612153382714475,-301.44386325035896,2
