method,scenario,iteration,converged,time_sec,n_iter,objective,tau2,n_params,init_val_idx,message
TwoStage_RCS_DL_HKSJ,1_linear_low_het,0,True,0.0036458969116210938,,,2.4815194897903235e-08,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,0,True,0.0015096664428710938,,,,,,Success
OneStage_RCS,1_linear_low_het,0,True,0.18094944953918457,,,0.00999999999999996,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,1,True,0.002307891845703125,,,5.8467628283340665e-08,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,1,True,0.0014829635620117188,,,,,,Success
OneStage_RCS,1_linear_low_het,1,True,0.11919903755187988,,,0.009999999999999995,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,2,True,0.0022995471954345703,,,7.571555263964863e-08,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,2,True,0.001447916030883789,,,,,,Success
OneStage_RCS,1_linear_low_het,2,True,0.18946099281311035,,,0.011074635158522503,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,3,True,0.002458333969116211,,,1.5965977610618486e-08,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,3,True,0.0013973712921142578,,,,,,Success
OneStage_RCS,1_linear_low_het,3,True,0.2814195156097412,,,0.009999989877334595,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,4,True,0.0024957656860351562,,,5.285916018003487e-08,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,4,True,0.0019071102142333984,,,,,,Success
OneStage_RCS,1_linear_low_het,4,True,0.18553829193115234,,,0.00999999581195173,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,5,True,0.0023355484008789062,,,8.71547449956137e-08,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,5,True,0.0014445781707763672,,,,,,Success
OneStage_RCS,1_linear_low_het,5,True,0.07635331153869629,,,0.00999999999999996,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,6,True,0.002232789993286133,,,5.581177960143967e-08,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,6,True,0.001516103744506836,,,,,,Success
OneStage_RCS,1_linear_low_het,6,True,0.31441402435302734,,,0.010000370163885275,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,7,True,0.002379179000854492,,,7.999140849237385e-08,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,7,True,0.0014522075653076172,,,,,,Success
OneStage_RCS,1_linear_low_het,7,True,0.25872135162353516,,,0.011693762492673213,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,8,True,0.0023984909057617188,,,1.3211759818508016e-07,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,8,True,0.0013048648834228516,,,,,,Success
OneStage_RCS,1_linear_low_het,8,True,0.21384382247924805,,,0.014262824375907094,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,9,True,0.002616405487060547,,,9.260411872975743e-08,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,9,True,0.0017132759094238281,,,,,,Success
OneStage_RCS,1_linear_low_het,9,True,0.2623748779296875,,,0.01318112353189429,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,10,True,0.0021800994873046875,,,8.530597779584857e-08,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,10,True,0.0015859603881835938,,,,,,Success
OneStage_RCS,1_linear_low_het,10,True,0.1257927417755127,,,0.011107928536085136,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,11,True,0.0021893978118896484,,,1.6712758346120074e-07,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,11,True,0.0014159679412841797,,,,,,Success
OneStage_RCS,1_linear_low_het,11,True,0.1846632957458496,,,0.023715696152203893,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,12,True,0.002379179000854492,,,2.8710242189127268e-08,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,12,True,0.001295328140258789,,,,,,Success
OneStage_RCS,1_linear_low_het,12,True,0.15192794799804688,,,0.009999989196624752,,,Success
TwoStage_RCS_DL_HKSJ,1_linear_low_het,13,True,0.0021805763244628906,,,7.367733346735147e-08,,,Success
TwoStage_RCS_Fixed,1_linear_low_het,13,True,0.001415252685546875,,,,,,Success
