scenario,method,sim_idx,converged,mse,coverage,interval_score,sharpness,calibration,tau2,I2
1_linear_low_het,TwoStage_RCS_DL_HKSJ,0,True,0.3211269109016454,94.0,70.27798026328563,70.26643601197304,0.011544251312584347,2.4815194897903235e-08,65.50588884111671
1_linear_low_het,TwoStage_RCS_Fixed,0,True,0.32017158545034624,90.0,24.027382889393415,23.944332840484446,0.0830500489089756,0.0,0.0
1_linear_low_het,OneStage_RCS,0,True,0.0038836257507765043,14.000000000000002,0.32712489609798695,0.11358244332262063,0.2135424527753664,0.00999999999999996,53.22537515865984
1_linear_low_het,TwoStage_RCS_DL_HKSJ,1,True,0.00531119173167387,100.0,116.1978390686314,116.1978390686314,0.0,5.8467628283340665e-08,70.51700841210018
1_linear_low_het,TwoStage_RCS_Fixed,1,True,0.005491390876856161,100.0,23.847588109469143,23.847588109469143,0.0,0.0,0.0
1_linear_low_het,OneStage_RCS,1,True,0.00015910115445635236,100.0,0.11563559764229395,0.11563559764229395,0.0,0.009999999999999995,76.96902221707369
1_linear_low_het,TwoStage_RCS_DL_HKSJ,2,True,0.0015843728982616071,100.0,174.45224510481893,174.45224510481893,0.0,7.571555263964863e-08,83.22809931453433
1_linear_low_het,TwoStage_RCS_Fixed,2,True,0.0015683759837691294,91.0,23.771158934313224,23.7298689079331,0.04129002638012474,0.0,0.0
1_linear_low_het,OneStage_RCS,2,True,0.0006590082376106285,100.0,0.12320378288965061,0.12320378288965061,0.0,0.011074635158522503,81.98608298244532
1_linear_low_het,TwoStage_RCS_DL_HKSJ,3,True,0.0021273109118809287,100.0,54.48670757616878,54.48670757616878,0.0,1.5965977610618486e-08,62.596110817134665
1_linear_low_het,TwoStage_RCS_Fixed,3,True,0.0021456232110034328,94.0,24.10548300703903,24.101320163368545,0.0041628436704782305,0.0,0.0
1_linear_low_het,OneStage_RCS,3,True,6.596345715941653e-05,100.0,0.11860889190366258,0.11860889190366258,0.0,0.009999989877334595,61.705961180431
1_linear_low_het,TwoStage_RCS_DL_HKSJ,4,True,0.00030096732073402134,100.0,110.25330444644345,110.25330444644345,0.0,5.285916018003487e-08,73.89848717131562
1_linear_low_het,TwoStage_RCS_Fixed,4,True,0.00027645290911369383,93.0,22.406953998890298,22.391704360999046,0.015249637891251324,0.0,0.0
1_linear_low_het,OneStage_RCS,4,True,0.00037477015001627346,100.0,0.1167757803048593,0.1167757803048593,0.0,0.00999999581195173,74.49660798782297
1_linear_low_het,TwoStage_RCS_DL_HKSJ,5,True,0.010384624733107932,100.0,175.31898584666214,175.31898584666214,0.0,8.71547449956137e-08,81.25843537210926
1_linear_low_het,TwoStage_RCS_Fixed,5,True,0.010368938192960316,100.0,23.496763210371263,23.496763210371263,0.0,0.0,0.0
1_linear_low_het,OneStage_RCS,5,True,0.0030472483800495238,76.0,0.3174840538810195,0.12303159462061623,0.19445245926040328,0.00999999999999996,75.42192439012567
1_linear_low_het,TwoStage_RCS_DL_HKSJ,6,True,0.0012679630006777456,100.0,133.72650763361094,133.72650763361094,0.0,5.581177960143967e-08,77.55586806643672
1_linear_low_het,TwoStage_RCS_Fixed,6,True,0.001243632111401744,100.0,24.508562846373287,24.508562846373287,0.0,0.0,0.0
1_linear_low_het,OneStage_RCS,6,True,7.474731723841389e-05,100.0,0.11399739507723466,0.11399739507723466,0.0,0.010000370163885275,79.47998489260156
1_linear_low_het,TwoStage_RCS_DL_HKSJ,7,True,0.015293329228651368,100.0,178.27269039885192,178.27269039885192,0.0,7.999140849237385e-08,83.34430777878974
1_linear_low_het,TwoStage_RCS_Fixed,7,True,0.015832854599705397,100.0,23.510966786449913,23.510966786449913,0.0,0.0,0.0
1_linear_low_het,OneStage_RCS,7,True,3.3014142486947845e-05,100.0,0.12908240942763732,0.12908240942763732,0.0,0.011693762492673213,83.23823093765733
1_linear_low_het,TwoStage_RCS_DL_HKSJ,8,True,0.006321233956039896,100.0,281.7581161020759,281.7581161020759,0.0,1.3211759818508016e-07,87.67278442060405
1_linear_low_het,TwoStage_RCS_Fixed,8,True,0.006610793247381555,100.0,24.87424530877476,24.87424530877476,0.0,0.0,0.0
1_linear_low_het,OneStage_RCS,8,True,0.0003557696684561561,100.0,0.13234323536595025,0.13234323536595025,0.0,0.014262824375907094,85.36449231385221
1_linear_low_het,TwoStage_RCS_DL_HKSJ,9,True,0.12094876631568903,100.0,210.7262906128353,210.7262906128353,0.0,9.260411872975743e-08,86.83222630006655
1_linear_low_het,TwoStage_RCS_Fixed,9,True,0.12286882691619544,100.0,22.966480659530575,22.966480659530575,0.0,0.0,0.0
1_linear_low_het,OneStage_RCS,9,True,0.000844565192948792,100.0,0.13444195757681823,0.13444195757681823,0.0,0.01318112353189429,84.29856908940212
1_linear_low_het,TwoStage_RCS_DL_HKSJ,10,True,0.005997506944198161,94.0,179.0012798358336,178.9338316220042,0.06744821382941463,8.530597779584857e-08,82.0053397139896
1_linear_low_het,TwoStage_RCS_Fixed,10,True,0.0059629051134043294,88.0,24.01107838487534,23.751567694722997,0.2595106901523395,0.0,0.0
1_linear_low_het,OneStage_RCS,10,True,0.0044713316737596135,64.0,0.3786073950122561,0.12354227193109203,0.25506512308116397,0.011107928536085136,81.5871199705553
1_linear_low_het,TwoStage_RCS_DL_HKSJ,11,True,0.011701833153632294,100.0,410.8597682404219,410.8597682404219,0.0,1.6712758346120074e-07,92.74942312963815
1_linear_low_het,TwoStage_RCS_Fixed,11,True,0.012480748781148633,91.0,24.766758659166097,24.733176589666456,0.033582069499643825,0.0,0.0
1_linear_low_het,OneStage_RCS,11,True,0.002003237748212324,100.0,0.17471133502218109,0.17471133502218109,0.0,0.023715696152203893,90.70461041044516
1_linear_low_het,TwoStage_RCS_DL_HKSJ,12,True,0.001066510850504436,100.0,78.60958560790638,78.60958560790638,0.0,2.8710242189127268e-08,69.49235162500747
1_linear_low_het,TwoStage_RCS_Fixed,12,True,0.0010670138444382582,100.0,23.418901962610633,23.418901962610633,0.0,0.0,0.0
1_linear_low_het,OneStage_RCS,12,True,0.00019872603115794104,100.0,0.12242400807889606,0.12242400807889606,0.0,0.009999989196624752,60.11800121815595
1_linear_low_het,TwoStage_RCS_DL_HKSJ,13,True,0.008624948673032342,100.0,154.17083570494415,154.17083570494415,0.0,7.367733346735147e-08,80.38644139166186
1_linear_low_het,TwoStage_RCS_Fixed,13,True,0.009198260672490084,100.0,22.989855632423417,22.989855632423417,0.0,0.0,0.0
1_linear_low_het,OneStage_RCS,13,True,0.000523141522706588,100.0,0.12108115160395723,0.12108115160395723,0.0,0.00999999619427693,76.5693906663931
1_linear_low_het,TwoStage_RCS_DL_HKSJ,14,True,0.0042913411671885145,100.0,155.69231879692484,155.69231879692484,0.0,7.82971049663461e-08,78.26411473918462
1_linear_low_het,TwoStage_RCS_Fixed,14,True,0.004443162386860346,100.0,23.708685549998577,23.708685549998577,0.0,0.0,0.0
1_linear_low_het,OneStage_RCS,14,True,0.00028833776165149963,100.0,0.11642837893549951,0.11642837893549951,0.0,0.009999999999999206,78.27205117183522
1_linear_low_het,TwoStage_RCS_DL_HKSJ,15,True,3.311309288951162,100.0,127.84851715856568,127.84851715856568,0.0,5.31987874826911e-08,75.39167808187356
1_linear_low_het,TwoStage_RCS_Fixed,15,True,0.9584939788255646,96.0,25.463662324909077,25.460843726584717,0.0028185983243633,0.0,0.0
