Scenario,Method,MSE,Bias,Coverage,CI_Width
linear_low_het,RCS_pooled,0.0018396728685015585,0.030087656269984733,51.5,0.06271226220228492
linear_low_het,FP2_pooled,0.002003952295745236,0.03195328064213578,50.0,0.06160208235050052
linear_low_het,OneStage_RCS,0.0018396728685015585,0.030087656269984733,84.0,0.12106404708208884
linear_low_het,TwoStage_RCS_DL,0.002608896718859965,0.0360964023296222,95.0,0.21348103288294937
linear_low_het,TwoStage_RCS_Fixed,0.002608896718859965,0.0360964023296222,95.0,0.21348103288294937
linear_low_het,OneStage_FP,0.002002037265652534,0.03193809039445352,51.0,0.06213235428238101
quadratic_mod_het,RCS_pooled,0.01421859929039765,-0.03781365948151261,17.5,0.06752172354900444
quadratic_mod_het,FP2_pooled,0.013276502661642597,-0.029897714144949752,16.0,0.06679572892958313
quadratic_mod_het,OneStage_RCS,0.015289813012208713,-0.04943676662866299,39.0,0.14878688909293583
quadratic_mod_het,TwoStage_RCS_DL,0.01461095710307123,-0.03991361579867244,63.5,0.28326720918689735
quadratic_mod_het,TwoStage_RCS_Fixed,0.014025089397433086,-0.031736871624120276,56.99999999999999,0.24719454761932283
quadratic_mod_het,OneStage_FP,0.014073402866783588,-0.04036197397191204,41.0,0.14804496047479673
log_high_het,RCS_pooled,0.08906363321336891,-0.06414011508616975,9.0,0.10362140501645042
log_high_het,FP2_pooled,0.04547269783643803,0.0326474738907494,12.5,0.09456636343346286
log_high_het,OneStage_RCS,0.09716054782212893,-0.08590603933155613,43.0,0.3536077162433911
log_high_het,TwoStage_RCS_DL,0.10783058920638044,-0.08420986334071685,72.0,0.7059378263615409
log_high_het,TwoStage_RCS_Fixed,0.09636017069682566,-0.02797588719413781,38.0,0.35399745327169063
log_high_het,OneStage_FP,0.04789011131055245,0.029146956476889092,57.99999999999999,0.3499509536007712
threshold_mod_het,RCS_pooled,0.009184936005257542,0.017987588382670654,32.5,0.06488414363392257
threshold_mod_het,FP2_pooled,0.009215719686667921,0.01907306181055923,25.5,0.06648529825271587
threshold_mod_het,OneStage_RCS,0.009168651633371426,0.01633673758535846,51.5,0.11602675030991415
threshold_mod_het,TwoStage_RCS_DL,0.009511442854059547,0.02278536264195825,84.0,0.38439686298693987
threshold_mod_het,TwoStage_RCS_Fixed,0.008503829961956404,0.0029040959365527674,73.5,0.23168092015022967
threshold_mod_het,OneStage_FP,0.0093709587262446,0.01986138685403295,51.5,0.11505402164759669
complex_nonlinear,RCS_pooled,0.013553134446348187,0.001277736868733125,12.5,0.054906974257575014
complex_nonlinear,FP2_pooled,0.01162375790258153,-0.01394139054575194,21.5,0.056170453663773684
complex_nonlinear,OneStage_RCS,0.012667973966483368,0.00017616520911816757,46.5,0.13785385579660453
complex_nonlinear,TwoStage_RCS_DL,0.013343078599848686,0.019577471657666216,70.0,0.2552716866656579
complex_nonlinear,TwoStage_RCS_Fixed,0.013078965311597175,0.013252237833069374,54.50000000000001,0.19817335144598913
complex_nonlinear,OneStage_FP,0.011456964056738022,-0.012566451686758495,52.0,0.1388700312503529
